1,1,370.86,406.01,80.19,237.64,0.8171,-1,-1,-1
1,2,1041.17,134.15,67.12,177.94,0.7568,-1,-1,-1
1,3,102.16,550.23,74.25,243.66,0.7336,-1,-1,-1
1,4,1733.34,456.74,75.39,219.33,0.7227,-1,-1,-1
1,5,543.45,141.90,61.01,184.22,0.7011,-1,-1,-1
1,6,1097.68,980.82,73.80,99.18,0.7010,-1,-1,-1
1,7,790.33,146.64,62.66,175.31,0.6859,-1,-1,-1
1,8,1103.95,209.80,56.16,177.54,0.6683,-1,-1,-1
1,9,1355.08,570.30,109.96,250.51,0.6516,-1,-1,-1
1,10,1792.48,200.23,56.44,190.33,0.6093,-1,-1,-1
1,11,1634.66,260.48,66.59,181.88,0.5999,-1,-1,-1
1,12,502.61,132.48,50.61,169.57,0.5722,-1,-1,-1
2,1,371.43,405.33,80.65,240.19,0.8207,-1,-1,-1
2,2,1040.40,132.88,68.73,180.33,0.7356,-1,-1,-1
2,3,102.31,550.26,74.15,243.42,0.7411,-1,-1,-1
2,4,1731.85,456.32,77.19,220.60,0.7270,-1,-1,-1
2,5,542.39,143.01,61.74,183.49,0.7224,-1,-1,-1
2,6,1101.19,980.14,72.13,99.86,0.7158,-1,-1,-1
2,7,790.36,146.67,63.42,174.60,0.6896,-1,-1,-1
2,8,1098.36,209.25,59.47,178.76,0.6587,-1,-1,-1
2,9,1355.06,570.64,111.86,249.49,0.6306,-1,-1,-1
2,10,1793.25,200.94,57.57,188.05,0.6328,-1,-1,-1
2,11,1630.96,258.14,70.27,188.91,0.5895,-1,-1,-1
2,12,500.80,133.06,51.34,168.72,0.4796,-1,-1,-1
3,1,372.07,405.68,80.46,242.54,0.8232,-1,-1,-1
3,2,1044.13,132.57,65.14,177.08,0.6686,-1,-1,-1
3,3,101.29,550.81,77.79,242.99,0.7409,-1,-1,-1
3,4,1730.52,457.65,75.65,214.54,0.7129,-1,-1,-1
3,5,543.07,142.34,62.18,185.74,0.6947,-1,-1,-1
3,6,1104.53,979.37,73.78,100.63,0.6677,-1,-1,-1
3,7,789.71,146.01,63.51,175.22,0.6665,-1,-1,-1
3,8,1089.80,208.53,64.18,179.23,0.6925,-1,-1,-1
3,9,1355.17,570.39,109.53,250.25,0.6499,-1,-1,-1
3,10,1796.69,202.75,54.35,185.13,0.6179,-1,-1,-1
3,11,1628.70,257.90,69.57,192.82,0.6131,-1,-1,-1
3,12,497.33,131.51,55.53,168.94,0.5154,-1,-1,-1
4,1,371.74,405.58,80.21,242.15,0.8620,-1,-1,-1
4,2,1043.46,133.95,64.81,164.85,0.5870,-1,-1,-1
4,3,102.47,549.60,74.07,245.20,0.7496,-1,-1,-1
4,4,1729.87,456.68,75.81,210.59,0.7434,-1,-1,-1
4,5,543.52,143.56,59.04,184.56,0.6365,-1,-1,-1
4,6,1107.29,978.14,73.12,101.86,0.6857,-1,-1,-1
4,7,789.99,145.92,63.90,175.46,0.6746,-1,-1,-1
4,8,1083.84,216.09,68.17,169.88,0.7026,-1,-1,-1
4,9,1355.83,569.78,114.27,251.10,0.6307,-1,-1,-1
4,10,1796.66,200.53,55.79,187.52,0.6366,-1,-1,-1
4,11,1628.26,258.90,65.27,187.27,0.6592,-1,-1,-1
4,12,495.69,129.50,58.28,171.82,0.5359,-1,-1,-1
4,13,882.83,129.00,52.45,166.38,0.5114,-1,-1,-1
5,1,373.06,405.54,79.71,241.74,0.8540,-1,-1,-1
5,2,1044.38,131.92,63.57,172.21,0.5459,-1,-1,-1
